date,followers,followers_growth,username,channel,link_profile
2019-06-27,38074,46,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-06-28,38173,99,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-06-29,38281,108,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-06-30,38341,60,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-07-01,38372,31,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-07-02,38409,37,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-07-03,38463,54,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-07-04,38493,30,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-07-05,38519,26,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-07-06,38547,28,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-07-07,38595,48,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-07-08,38644,49,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-07-09,38693,49,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-07-10,38742,49,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-07-11,38794,52,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-07-12,38840,46,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-07-13,38897,57,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-07-14,38968,71,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-07-15,39038,70,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-07-16,39104,66,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-07-17,39142,38,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-07-18,39237,95,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-07-19,39326,89,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-07-20,39397,71,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-07-21,39475,78,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-07-22,39530,55,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-07-23,39601,71,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-07-24,39663,62,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-07-25,39727,64,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-07-26,39784,57,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-07-27,39844,60,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-07-28,39892,48,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-07-29,39941,49,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-07-30,39989,48,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-07-31,40038,49,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-08-01,40099,61,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-08-02,40140,41,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-08-03,40221,81,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-08-04,40264,43,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-08-05,40302,38,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-08-06,40327,25,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-08-07,40464,137,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-08-08,40526,62,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-08-09,40564,38,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-08-10,40625,61,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-08-11,40669,44,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-08-12,40704,35,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-08-13,40762,58,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-08-14,40820,58,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-08-15,40900,80,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-08-16,40981,81,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-08-17,41062,81,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-08-18,41142,80,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-08-19,41223,81,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-08-20,41304,81,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-08-21,41377,73,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-08-22,41414,37,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-08-23,41467,53,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-08-24,41519,52,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-08-25,41581,62,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-08-26,41631,50,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-08-27,41701,70,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-08-28,41759,58,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-08-29,41844,85,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-08-30,41902,58,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-08-31,41940,38,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-09-01,41975,35,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-09-02,42029,54,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-09-03,42065,36,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-09-04,42161,96,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-09-05,42248,87,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-09-06,42303,55,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-09-07,42372,69,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-09-08,42452,80,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-09-09,42498,46,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-09-10,42560,62,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-09-11,42643,83,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-09-12,42685,42,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-09-13,42759,74,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-09-14,42830,71,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-09-15,42875,45,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-09-16,42914,39,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-09-17,42988,74,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-09-18,43035,47,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-09-19,43073,38,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-09-20,43111,38,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-09-21,43179,68,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-09-22,43222,43,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-09-23,43273,51,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-09-24,43308,35,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-09-25,43357,49,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-09-26,43406,49,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-09-27,43463,57,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-09-28,43496,33,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-09-29,43558,62,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-09-30,43616,58,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-10-01,43642,26,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-10-02,43680,38,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-10-03,43740,60,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
